SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NITIRAJ,EQ,43,45,42.9,43.2,43.05,43.2,6907,304067.45,22-APR-2021,63,INE439T01012,
NITIRAJ,EQ,43.05,43.5,42,43.35,43.4,43.2,253,10902.15,23-APR-2021,21,INE439T01012,
NITIRAJ,EQ,43.4,43.4,43.35,43.35,43.35,43.35,45,1951.75,26-APR-2021,2,INE439T01012,
NITIRAJ,EQ,43.85,43.9,42.6,42.8,42.85,43.35,1619,69310.2,27-APR-2021,12,INE439T01012,
NITIRAJ,EQ,42.8,42.8,41.5,41.95,41.5,42.8,10,423.75,28-APR-2021,5,INE439T01012,
NITIRAJ,EQ,43.9,43.9,42,42.4,42.4,41.95,2868,122877,29-APR-2021,24,INE439T01012,
NITIRAJ,EQ,42.3,43.2,40.3,40.85,40.7,42.4,685,27835.85,30-APR-2021,13,INE439T01012,
NITIRAJ,EQ,42.8,42.8,38.85,39.95,38.85,40.85,3331,133593.15,03-MAY-2021,39,INE439T01012,
NITIRAJ,EQ,40.9,41,40.9,41,41,39.95,48,1966.8,04-MAY-2021,4,INE439T01012,
NITIRAJ,EQ,41,41.9,39.05,41.05,41.9,41,1158,47397.05,05-MAY-2021,21,INE439T01012,
NITIRAJ,EQ,42.3,42.35,39.05,40.95,40.95,41.05,85,3579.6,06-MAY-2021,9,INE439T01012,
NITIRAJ,EQ,40.05,40.75,39,40.4,40.75,40.95,463,18299.9,07-MAY-2021,15,INE439T01012,
NITIRAJ,EQ,40.4,42.3,39,39.5,39.5,40.4,470,19137.25,10-MAY-2021,23,INE439T01012,
NITIRAJ,EQ,39.55,41.2,39.55,40,40.6,39.5,1236,49065.35,11-MAY-2021,12,INE439T01012,
NITIRAJ,EQ,40,40.75,40,40.5,40.5,40,103,4171.25,12-MAY-2021,4,INE439T01012,
NITIRAJ,EQ,41.45,41.5,39.95,40,40,40.5,1106,44989.4,14-MAY-2021,15,INE439T01012,
NITIRAJ,EQ,41.5,41.5,38.2,41.35,41.35,40,1724,70177.35,17-MAY-2021,38,INE439T01012,
NITIRAJ,EQ,43.25,43.4,39.5,43.4,43.4,41.35,8650,368071.35,18-MAY-2021,57,INE439T01012,
NITIRAJ,EQ,45.55,45.55,45.55,45.55,45.55,43.4,11423,520317.65,19-MAY-2021,27,INE439T01012,
NITIRAJ,EQ,47.8,47.8,46.25,47.8,47.8,45.55,5211,248518.2,20-MAY-2021,57,INE439T01012,
NITIRAJ,EQ,50.15,50.15,49,50.15,50.15,47.8,14946,749382.9,21-MAY-2021,97,INE439T01012,
NITIRAJ,EQ,52.65,52.65,52.6,52.65,52.65,50.15,14543,765611.45,24-MAY-2021,74,INE439T01012,
NITIRAJ,EQ,52.7,55.25,52.65,55,55.25,52.65,26575,1462411.8,25-MAY-2021,273,INE439T01012,
NITIRAJ,EQ,57.7,57.75,57.7,57.75,57.75,55,10788,622971.4,26-MAY-2021,69,INE439T01012,
NITIRAJ,EQ,60.6,60.6,57.3,60.5,60.6,57.75,36337,2195496.05,27-MAY-2021,281,INE439T01012,
NITIRAJ,EQ,62,63.5,62,63.5,63.5,60.5,18850,1196385.15,28-MAY-2021,114,INE439T01012,
NITIRAJ,EQ,66,66,60.35,60.35,60.35,63.5,7709,469745.15,31-MAY-2021,69,INE439T01012,
NITIRAJ,EQ,57.35,57.35,57.35,57.35,57.35,60.35,444,25463.4,01-JUN-2021,12,INE439T01012,
NITIRAJ,EQ,54.5,54.5,54.5,54.5,54.5,57.35,5869,319860.5,02-JUN-2021,37,INE439T01012,
NITIRAJ,EQ,51.8,56.95,51.8,53.35,53.65,54.5,21167,1133710.4,03-JUN-2021,329,INE439T01012,
NITIRAJ,EQ,55.9,56,52.05,53.9,53.9,53.35,6828,366354.5,04-JUN-2021,65,INE439T01012,
NITIRAJ,EQ,53.9,53.9,51.75,52.6,53.25,53.9,3669,192799.3,07-JUN-2021,53,INE439T01012,
NITIRAJ,EQ,54.9,54.9,51.3,53.9,54,52.6,4228,226347.5,08-JUN-2021,59,INE439T01012,
NITIRAJ,EQ,56.5,56.5,53.9,53.9,53.9,53.9,6138,336965.95,09-JUN-2021,89,INE439T01012,
NITIRAJ,EQ,56.5,56.5,53.15,53.8,54.5,53.9,1538,83150.7,10-JUN-2021,31,INE439T01012,
