SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
RBL,EQ,342,354,342,351.6,350.85,343,1544,540431.05,01-JAN-2016,45,INE244J01017,
RBL,EQ,358,358,345,346.65,345,351.6,203,71052,04-JAN-2016,22,INE244J01017,
RBL,EQ,340,352.95,340,350,350,346.65,96,33634,05-JAN-2016,15,INE244J01017,
RBL,EQ,341.2,348.6,341.2,345,345,350,585,201799.7,06-JAN-2016,21,INE244J01017,
RBL,EQ,347.95,347.95,333.8,338.6,339.05,345,218,73624.45,07-JAN-2016,20,INE244J01017,
RBL,EQ,339.1,348.9,326.5,334.65,334.7,338.6,1530,508066.75,08-JAN-2016,67,INE244J01017,
RBL,EQ,334.65,344,334,343.35,343.35,334.65,74,24939.75,11-JAN-2016,11,INE244J01017,
RBL,EQ,345,354,328.65,329.85,329.1,343.35,365,121109.05,12-JAN-2016,43,INE244J01017,
RBL,EQ,327,333.55,316,320.45,327.95,329.85,1437,470947.15,13-JAN-2016,84,INE244J01017,
RBL,EQ,320,333.5,310.05,320.1,320.1,320.45,719,230671.95,14-JAN-2016,34,INE244J01017,
RBL,EQ,320.1,325,306,312.95,312.5,320.1,2615,829072.55,15-JAN-2016,78,INE244J01017,
RBL,EQ,300,307.9,290,300.4,300,312.95,881,264866.4,18-JAN-2016,47,INE244J01017,
RBL,EQ,301.05,309.75,299.95,304.85,301.55,300.4,285,86071.25,19-JAN-2016,22,INE244J01017,
RBL,EQ,300,302,275.3,290.8,293,304.85,2186,641353.7,20-JAN-2016,67,INE244J01017,
RBL,EQ,283.6,299.4,275.1,295.85,299.4,290.8,1062,301976.45,21-JAN-2016,67,INE244J01017,
RBL,EQ,306,311,303.7,310,309.9,295.85,166,51046.5,22-JAN-2016,33,INE244J01017,
RBL,EQ,313.05,329,307,309.5,307,310,544,170321.1,25-JAN-2016,52,INE244J01017,
RBL,EQ,312.15,336,312,323.15,323.95,309.5,3286,1059115.25,27-JAN-2016,95,INE244J01017,
RBL,EQ,326.7,387.75,320.45,387.75,387.75,323.15,48444,17990045.75,28-JAN-2016,1780,INE244J01017,
RBL,EQ,420,437.9,393,398.2,399.9,387.75,89048,36388335.05,29-JAN-2016,3723,INE244J01017,
RBL,EQ,407.9,407.9,395,403.05,402.6,398.2,11042,4419060.55,01-FEB-2016,439,INE244J01017,
RBL,EQ,403.25,405.95,382.05,384.3,385.85,403.05,5631,2217167.4,02-FEB-2016,261,INE244J01017,
RBL,EQ,360,380.95,360,371.85,371,384.3,6183,2312045.8,03-FEB-2016,238,INE244J01017,
RBL,EQ,380,380.95,360,369.45,371,371.85,3514,1296926,04-FEB-2016,148,INE244J01017,
