SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DPWIRES,EQ,78,88.8,78,88.8,88.8,74,10184,897033.3,17-JAN-2020,90,INE864X01013,
DPWIRES,EQ,98,98,80.2,83.35,83,88.8,3897,352253.8,20-JAN-2020,119,INE864X01013,
DPWIRES,EQ,74.1,86.9,74.1,80.7,82.75,83.35,15091,1196093.45,21-JAN-2020,89,INE864X01013,
DPWIRES,EQ,85.95,85.95,80,83.7,83.7,80.7,3306,270224.15,22-JAN-2020,30,INE864X01013,
DPWIRES,EQ,87.6,91,80,86.3,86.5,83.7,280,24287.15,23-JAN-2020,23,INE864X01013,
DPWIRES,EQ,90,91,76.05,90.3,90.95,86.3,5916,533522.6,24-JAN-2020,33,INE864X01013,
DPWIRES,EQ,94,94,79.7,90.9,91,90.3,5925,526285.2,27-JAN-2020,145,INE864X01013,
DPWIRES,EQ,84.1,91.9,84.1,87.4,88,90.9,1257,112591.95,28-JAN-2020,45,INE864X01013,
DPWIRES,EQ,86.95,90.5,86.1,87.9,86.6,87.4,45,3954.95,29-JAN-2020,10,INE864X01013,
DPWIRES,EQ,90.05,90.05,85.65,86,86,87.9,79,6779.1,30-JAN-2020,6,INE864X01013,
DPWIRES,EQ,86,91,86,90,90,86,1654,148947.5,31-JAN-2020,16,INE864X01013,
DPWIRES,EQ,84,84.1,84,84.1,84.1,86,4,336.2,03-FEB-2020,2,INE864X01013,
DPWIRES,EQ,89.95,89.95,84.1,87.45,84.1,84.1,722,63568.7,04-FEB-2020,21,INE864X01013,
DPWIRES,EQ,91.5,91.5,85.5,87.75,88,87.45,790,68951,05-FEB-2020,19,INE864X01013,
DPWIRES,EQ,89.45,89.45,88.5,88.5,88.5,87.75,3,266.45,06-FEB-2020,3,INE864X01013,
DPWIRES,EQ,85.1,88.45,77.05,82.25,84.35,88.5,1107,92944.65,07-FEB-2020,23,INE864X01013,
DPWIRES,EQ,89.6,89.6,76.25,80,80,82.25,1463,115558.65,10-FEB-2020,41,INE864X01013,
DPWIRES,EQ,80,85,80,83.5,82,80,130,10750,11-FEB-2020,4,INE864X01013,
DPWIRES,EQ,83,88,83,85.4,88,83.5,110,9394.6,12-FEB-2020,5,INE864X01013,
DPWIRES,EQ,87.65,87.9,86.9,87.9,87.9,85.4,71,6228.55,13-FEB-2020,5,INE864X01013,
DPWIRES,EQ,78.1,78.1,78,78,78.1,87.9,66,5149.2,14-FEB-2020,7,INE864X01013,
DPWIRES,EQ,88,89.8,77.65,79.35,80.1,78,410,34369,17-FEB-2020,19,INE864X01013,
DPWIRES,EQ,88,88,80.15,83.5,86,79.35,2151,178680.65,18-FEB-2020,43,INE864X01013,
DPWIRES,EQ,85.9,85.9,85.9,85.9,85.9,83.5,1,85.9,19-FEB-2020,1,INE864X01013,
DPWIRES,EQ,79,85,78.3,83.75,83.75,85.9,127,10067.15,20-FEB-2020,17,INE864X01013,
DPWIRES,EQ,71.5,79,71.3,78.8,79,83.75,247,18703.75,25-FEB-2020,27,INE864X01013,
DPWIRES,EQ,78.7,87.8,72.75,75.25,75.25,78.8,1979,159058.05,26-FEB-2020,31,INE864X01013,
DPWIRES,EQ,75.3,78,75.3,75.6,78,75.25,33,2495.7,27-FEB-2020,2,INE864X01013,
DPWIRES,EQ,75,75,75,75,75,75.6,10,750,28-FEB-2020,1,INE864X01013,
DPWIRES,EQ,73,73,70.8,71.95,70.8,75,34,2451.2,02-MAR-2020,3,INE864X01013,
DPWIRES,EQ,77,77,73.55,73.55,73.55,71.95,36,2697.85,03-MAR-2020,4,INE864X01013,
DPWIRES,EQ,75,78,72,73.9,73,73.55,2191,161476.65,04-MAR-2020,39,INE864X01013,
DPWIRES,EQ,72,72.5,70.1,70.25,70.1,73.9,741,52938.8,05-MAR-2020,23,INE864X01013,
DPWIRES,EQ,61.25,77,61.25,77,77,70.25,1061,77467.65,06-MAR-2020,15,INE864X01013,
DPWIRES,EQ,77,77,64.5,76.95,76.95,77,32,2450.55,09-MAR-2020,4,INE864X01013,
DPWIRES,EQ,64.4,64.4,64.4,64.4,64.4,76.95,1,64.4,11-MAR-2020,1,INE864X01013,
DPWIRES,EQ,70,77.2,66.05,67.2,67,64.4,1853,128947.85,12-MAR-2020,59,INE864X01013,
DPWIRES,EQ,53.95,80.5,53.8,66.85,65.1,67.2,3673,228350,13-MAR-2020,95,INE864X01013,
DPWIRES,EQ,65.1,66.65,56.05,59.1,59,66.85,483,29015.6,16-MAR-2020,34,INE864X01013,
DPWIRES,EQ,60,69.85,49.15,57.25,55.8,59.1,977,59134.75,17-MAR-2020,48,INE864X01013,
DPWIRES,EQ,53.15,58.7,52,56.1,56,57.25,501,27603,18-MAR-2020,32,INE864X01013,
DPWIRES,EQ,50.55,55.95,50.25,55.6,55.4,56.1,2205,114416.25,19-MAR-2020,18,INE864X01013,
DPWIRES,EQ,55.4,61,53.7,59.65,61,55.6,572,33625.85,20-MAR-2020,30,INE864X01013,
DPWIRES,EQ,47.75,64.85,47.75,49.55,49,59.65,698,35128.4,23-MAR-2020,41,INE864X01013,
DPWIRES,EQ,48,50,48,50,50,49.55,19,942,24-MAR-2020,2,INE864X01013,
DPWIRES,EQ,51,51,50.05,50.3,50.3,50,368,18448.95,26-MAR-2020,7,INE864X01013,
DPWIRES,EQ,50.3,50.3,45.55,50.1,50.05,50.3,128,6393.05,27-MAR-2020,9,INE864X01013,
DPWIRES,EQ,55,55,41.15,44.95,48.95,50.1,5907,288838.4,30-MAR-2020,117,INE864X01013,
DPWIRES,EQ,48.95,53.9,48.05,51.8,51.75,44.95,825,43294.35,31-MAR-2020,52,INE864X01013,
DPWIRES,EQ,51.75,51.75,51.7,51.7,51.7,51.8,2,103.45,01-APR-2020,2,INE864X01013,
DPWIRES,EQ,44.2,53.9,44.2,47.7,47.7,51.7,274,13051.9,03-APR-2020,21,INE864X01013,
DPWIRES,EQ,57.1,57.1,42.2,52,51.55,47.7,789,41984.65,07-APR-2020,29,INE864X01013,
DPWIRES,EQ,52,55,52,54.95,55,52,496,27267.1,08-APR-2020,9,INE864X01013,
DPWIRES,EQ,54.95,64.9,54.95,61.15,63.9,54.95,658,40729.8,09-APR-2020,30,INE864X01013,
DPWIRES,EQ,61.15,64.85,53.6,62.55,64.85,61.15,1951,116108.25,13-APR-2020,28,INE864X01013,
DPWIRES,EQ,52.3,64.95,52.3,60.5,61.5,62.55,1375,80212.5,15-APR-2020,46,INE864X01013,
DPWIRES,EQ,53.7,70,53.65,62.4,62.6,60.5,2722,165199.25,16-APR-2020,38,INE864X01013,
DPWIRES,EQ,61.2,65,54.6,62.1,60,62.4,2891,174727.85,17-APR-2020,63,INE864X01013,
DPWIRES,EQ,62.1,62.1,62.1,62.1,62.1,62.1,266,16518.6,20-APR-2020,8,INE864X01013,
DPWIRES,EQ,61,61,57,57.3,57.3,62.1,190,10918.2,21-APR-2020,8,INE864X01013,
DPWIRES,EQ,57.3,68.75,55,60.15,60.05,57.3,5026,311260.1,22-APR-2020,155,INE864X01013,
DPWIRES,EQ,60.2,65.95,58.25,60.2,58.45,60.15,513,31295.1,23-APR-2020,34,INE864X01013,
DPWIRES,EQ,59,66.1,53.25,58.1,55.2,60.2,1983,118275.75,24-APR-2020,42,INE864X01013,
DPWIRES,EQ,62,62,59,60.15,60.55,58.1,63,3836.3,27-APR-2020,9,INE864X01013,
DPWIRES,EQ,60.55,61.75,58.15,60.55,60.55,60.15,111,6701.5,28-APR-2020,9,INE864X01013,
DPWIRES,EQ,59,62.45,55.85,60.1,60.1,60.55,227,13957.2,29-APR-2020,11,INE864X01013,
DPWIRES,EQ,60.1,62,60.1,62,62,60.1,632,39162.65,30-APR-2020,9,INE864X01013,
DPWIRES,EQ,59,62.4,53.55,59.7,56.7,62,1332,74822.25,04-MAY-2020,33,INE864X01013,
DPWIRES,EQ,58,61.5,56,57.6,60.5,59.7,597,34156.7,05-MAY-2020,27,INE864X01013,
DPWIRES,EQ,60.5,61.5,60.5,61,61,57.6,35,2149,06-MAY-2020,4,INE864X01013,
DPWIRES,EQ,59,60.95,55.65,57.4,60.7,61,353,20212.95,07-MAY-2020,20,INE864X01013,
DPWIRES,EQ,60.3,60.3,60,60,60,57.4,27,1627.5,08-MAY-2020,3,INE864X01013,
DPWIRES,EQ,60.8,60.8,55.55,59.2,60.45,60,490,28899.15,11-MAY-2020,28,INE864X01013,
DPWIRES,EQ,58.5,60.4,56.25,60.4,60.4,59.2,52,3109.55,12-MAY-2020,4,INE864X01013,
DPWIRES,EQ,60.4,60.4,55.1,56,55.1,60.4,4077,234149.5,13-MAY-2020,46,INE864X01013,
DPWIRES,EQ,56,56,52.5,52.75,53,56,1927,103771.65,14-MAY-2020,50,INE864X01013,
DPWIRES,EQ,55,55,51.7,52.05,51.7,52.75,854,45377,15-MAY-2020,19,INE864X01013,
DPWIRES,EQ,56.25,56.25,56.25,56.25,56.25,52.05,1,56.25,18-MAY-2020,1,INE864X01013,
DPWIRES,EQ,61.95,61.95,47.35,50.75,50.85,56.25,1720,93959.7,19-MAY-2020,59,INE864X01013,
DPWIRES,EQ,54,60.9,51,60.9,60.9,50.75,8909,525789.6,20-MAY-2020,248,INE864X01013,
DPWIRES,EQ,73.05,73.05,68,73.05,73.05,60.9,59313,4264093,21-MAY-2020,800,INE864X01013,
DPWIRES,EQ,73.05,86.4,73.05,81.05,79.7,73.05,167755,13592733.8,22-MAY-2020,2699,INE864X01013,
DPWIRES,EQ,81.05,81.1,72.95,72.95,72.95,81.05,34908,2596220.9,26-MAY-2020,764,INE864X01013,
DPWIRES,BE,72.95,76,69.35,74.8,75.3,72.95,4797,348105.2,27-MAY-2020,104,INE864X01013,
DPWIRES,BE,71.1,71.25,71.1,71.1,71.1,74.8,1510,107381.5,28-MAY-2020,46,INE864X01013,
DPWIRES,BE,67.55,68,67.55,67.55,67.55,71.1,1893,127894.65,29-MAY-2020,61,INE864X01013,
DPWIRES,BE,67,67,64.2,64.2,64.2,67.55,3612,232675.4,01-JUN-2020,67,INE864X01013,
DPWIRES,BE,61,64,61,61,61,64.2,5590,341020.6,02-JUN-2020,79,INE864X01013,
DPWIRES,BE,57.95,57.95,57.95,57.95,57.95,61,4622,267844.9,03-JUN-2020,90,INE864X01013,
DPWIRES,BE,55.1,60.5,55.1,58.1,59,57.95,9057,520872.3,04-JUN-2020,131,INE864X01013,
DPWIRES,BE,58.85,58.85,56,57.1,57.1,58.1,2334,135449.45,05-JUN-2020,48,INE864X01013,
DPWIRES,BE,57.1,58,54.95,55.75,57,57.1,4996,278757.1,08-JUN-2020,91,INE864X01013,
DPWIRES,BE,53.5,58.5,53,56.15,58.5,55.75,6427,347862.9,09-JUN-2020,102,INE864X01013,
DPWIRES,BE,56.15,56.15,53.35,55,55,56.15,1073,57906.65,10-JUN-2020,38,INE864X01013,
DPWIRES,BE,55,55.5,53.2,54.85,55.5,55,1488,81376.25,11-JUN-2020,33,INE864X01013,
DPWIRES,BE,52.15,54.9,52.15,54.9,54.9,54.85,1217,64152.75,12-JUN-2020,44,INE864X01013,
DPWIRES,BE,54.85,54.85,52.2,54.6,52.4,54.9,3021,160868,15-JUN-2020,54,INE864X01013,
DPWIRES,BE,54.6,54.75,51.9,52.3,52.3,54.6,2018,107363.9,16-JUN-2020,35,INE864X01013,
DPWIRES,BE,54,54.55,53,53.95,53.5,52.3,2260,121486.5,17-JUN-2020,17,INE864X01013,
DPWIRES,BE,53.95,56,52.55,54.55,54.55,53.95,1856,100388.15,18-JUN-2020,26,INE864X01013,
DPWIRES,BE,54.55,54.55,53.5,54.15,53.5,54.55,1378,74252.1,19-JUN-2020,22,INE864X01013,
DPWIRES,BE,56.65,56.65,52.55,55.4,55.5,54.15,1988,108882.45,22-JUN-2020,34,INE864X01013,
DPWIRES,BE,53,55.5,52.7,54.75,54.75,55.4,1019,55318.75,23-JUN-2020,28,INE864X01013,
DPWIRES,BE,54.65,55,53.2,54.95,54.95,54.75,947,50585.1,24-JUN-2020,32,INE864X01013,
DPWIRES,BE,54.95,54.95,53.1,54.9,54.9,54.95,608,33398.4,25-JUN-2020,6,INE864X01013,
DPWIRES,BE,54,54.85,53,53.5,53.5,54.9,1390,74020.1,26-JUN-2020,15,INE864X01013,
DPWIRES,BE,53,54.8,53,54.1,54.7,53.5,1168,63168.2,29-JUN-2020,26,INE864X01013,
DPWIRES,BE,54.1,55.5,53,55.45,55.5,54.1,170,9356.7,30-JUN-2020,7,INE864X01013,
DPWIRES,BE,53.05,54.85,53.05,54.4,54.4,55.45,189,10046.75,01-JUL-2020,5,INE864X01013,
DPWIRES,BE,52.7,54.4,52.7,53,53,54.4,519,27554.6,02-JUL-2020,9,INE864X01013,
DPWIRES,BE,51.7,54.75,51.7,54.55,54.65,53,1055,57438.55,03-JUL-2020,20,INE864X01013,
DPWIRES,BE,54.65,55.65,54.65,55,55,54.55,3906,214310.3,06-JUL-2020,41,INE864X01013,
DPWIRES,BE,52.75,55,52.75,55,55,55,12,655.8,07-JUL-2020,3,INE864X01013,
DPWIRES,BE,54.95,54.95,53.4,53.4,53.4,55,140,7563,08-JUL-2020,8,INE864X01013,
DPWIRES,BE,53.4,56,53.4,55.9,55.9,53.4,519,28459.55,09-JUL-2020,15,INE864X01013,
DPWIRES,BE,53.2,55.8,53.2,55.8,55.8,55.9,1020,55697.35,10-JUL-2020,12,INE864X01013,
DPWIRES,BE,54,54,53.05,53.05,53.05,55.8,1489,79325.9,13-JUL-2020,20,INE864X01013,
DPWIRES,BE,53.05,55,52,52.6,52.6,53.05,858,45475.85,14-JUL-2020,20,INE864X01013,
DPWIRES,BE,52.65,55.2,52.65,53,53,52.6,1751,93036.8,15-JUL-2020,15,INE864X01013,
DPWIRES,BE,54,55,50.5,54.3,54.4,53,1208,65088.9,16-JUL-2020,21,INE864X01013,
DPWIRES,BE,54,55,52.3,54.95,54.95,54.3,1603,86287.55,17-JUL-2020,18,INE864X01013,
DPWIRES,BE,54.85,54.9,52.4,54.9,54.9,54.95,342,18669.85,20-JUL-2020,11,INE864X01013,
DPWIRES,BE,52.5,55.1,52.45,52.85,53,54.9,3323,177789.1,21-JUL-2020,42,INE864X01013,
DPWIRES,BE,53.15,55,53.15,54.85,55,52.85,604,32955.7,22-JUL-2020,6,INE864X01013,
DPWIRES,BE,52.65,54.8,52.65,54.3,53.3,54.85,212,11394.25,23-JUL-2020,9,INE864X01013,
DPWIRES,BE,53.5,53.5,53,53.05,53.05,54.3,612,32687.8,24-JUL-2020,9,INE864X01013,
DPWIRES,BE,54,54,53.3,53.3,53.3,53.05,253,13593.3,27-JUL-2020,8,INE864X01013,
DPWIRES,BE,54,54,52,52.25,52,53.3,1889,100491.6,28-JUL-2020,11,INE864X01013,
DPWIRES,BE,52.1,53,52.1,53,53,52.25,1163,61596.55,29-JUL-2020,4,INE864X01013,
DPWIRES,BE,53,53,52.4,52.4,52.4,53,94,4926.2,30-JUL-2020,5,INE864X01013,
DPWIRES,BE,52.4,54.95,52.2,52.2,52.2,52.4,221,11837.25,31-JUL-2020,9,INE864X01013,
DPWIRES,BE,51,54.5,49.6,50.05,50.05,52.2,368,18550.85,03-AUG-2020,9,INE864X01013,
DPWIRES,BE,51.25,51.25,51.25,51.25,51.25,50.05,7,358.75,04-AUG-2020,1,INE864X01013,
DPWIRES,BE,51.25,51.25,51.25,51.25,51.25,51.25,10,512.5,05-AUG-2020,1,INE864X01013,
DPWIRES,BE,51.25,51.7,51.25,51.7,51.7,51.25,90,4635.25,06-AUG-2020,4,INE864X01013,
DPWIRES,BE,51.75,54.25,51.75,54.25,54.25,51.7,1109,59537.6,07-AUG-2020,26,INE864X01013,
DPWIRES,BE,52,56.95,52,55.4,55.4,54.25,848,47755.6,10-AUG-2020,30,INE864X01013,
DPWIRES,BE,53.15,56.8,52.7,56.8,56.8,55.4,5034,267558.75,11-AUG-2020,34,INE864X01013,
DPWIRES,BE,56.7,56.8,54.15,56.4,56.8,56.8,1492,83262.15,12-AUG-2020,27,INE864X01013,
DPWIRES,BE,58,58,55,55.5,57,56.4,1506,83379.3,13-AUG-2020,24,INE864X01013,
DPWIRES,BE,53.05,55.5,53.05,55.45,55.45,55.5,617,33904.7,14-AUG-2020,33,INE864X01013,
DPWIRES,BE,55,58,55,56.4,57.85,55.45,1375,77560.65,17-AUG-2020,23,INE864X01013,
DPWIRES,EQ,58.65,59.2,55.6,57.45,59,56.4,6323,371016.2,18-AUG-2020,63,INE864X01013,
DPWIRES,EQ,59.9,60.2,56.2,59.5,60.1,57.45,2541,149731.7,19-AUG-2020,47,INE864X01013,
DPWIRES,EQ,59.5,62.45,56.7,60.95,61.95,59.5,4324,260090.95,20-AUG-2020,87,INE864X01013,
DPWIRES,EQ,63.45,63.95,58.1,61.7,63.95,60.95,2184,133622.5,21-AUG-2020,46,INE864X01013,
DPWIRES,EQ,59.05,64.7,58.65,60.15,59.9,61.7,3823,231683.25,24-AUG-2020,64,INE864X01013,
DPWIRES,EQ,61.4,61.4,58.05,58.8,59,60.15,4446,263262.85,25-AUG-2020,66,INE864X01013,
DPWIRES,EQ,59,60.5,58.95,59,58.95,58.8,8136,483587.25,26-AUG-2020,51,INE864X01013,
DPWIRES,EQ,61.8,61.8,58.85,61.25,61.8,59,7348,440558.45,27-AUG-2020,120,INE864X01013,
DPWIRES,EQ,59.15,62,59.15,61.8,62,61.25,1232,74900.65,28-AUG-2020,39,INE864X01013,
DPWIRES,EQ,59.5,62,58.75,58.95,60.2,61.8,3282,195658.6,31-AUG-2020,65,INE864X01013,
DPWIRES,EQ,58.95,61.8,56.2,60.5,60.5,58.95,2327,136631.55,01-SEP-2020,51,INE864X01013,
DPWIRES,EQ,60.5,62.65,58.25,59,61.55,60.5,292,17411.05,02-SEP-2020,31,INE864X01013,
DPWIRES,EQ,61.5,61.5,57.1,58.2,60.6,59,462,26836.35,03-SEP-2020,27,INE864X01013,
DPWIRES,EQ,60,61.1,56.45,58.25,57.6,58.2,4559,274660.9,04-SEP-2020,56,INE864X01013,
