SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
AUBANK,EQ,530,547,523.7,541.65,536.75,525,10585689,5675821262.65,10-JUL-2017,99367,INE949L01017
AUBANK,EQ,537,574.65,532.4,567.25,571,541.65,14286312,8044175377.65,11-JUL-2017,217405,INE949L01017,
AUBANK,EQ,576.45,642.7,575,629.55,639,567.25,17774578,10826426062.55,12-JUL-2017,264493,INE949L01017,
AUBANK,EQ,652,698.95,630.1,691.15,690.35,629.55,21875197,14686104483.5,13-JUL-2017,316633,INE949L01017,
AUBANK,EQ,697.8,725.5,561.1,598.8,597,691.15,33648384,21586338540.45,14-JUL-2017,563696,INE949L01017,
AUBANK,EQ,590,613.7,562.35,596.1,595,598.8,11510790,6813518855.35,17-JUL-2017,203465,INE949L01017,
AUBANK,EQ,590,603,581.1,588.9,585.5,596.1,3549898,2100762813.1,18-JUL-2017,64378,INE949L01017,
AUBANK,EQ,591.95,601.5,584.1,586.95,585.1,588.9,1791992,1061247277.1,19-JUL-2017,33680,INE949L01017,
AUBANK,EQ,588,598.95,577.1,582.6,582.5,586.95,3055040,1791219476,20-JUL-2017,49613,INE949L01017,
AUBANK,EQ,584,595,580.2,583.45,582.95,582.6,1438938,843846099.4,21-JUL-2017,27315,INE949L01017,
AUBANK,EQ,586.5,590.95,576,586.4,590.95,583.45,1489789,872480069.6,24-JUL-2017,21600,INE949L01017,
AUBANK,EQ,589.95,612,588.95,602.05,599.65,586.4,3090370,1866949697.3,25-JUL-2017,54822,INE949L01017,
AUBANK,EQ,597.9,598.45,580,581.85,581.65,595,849208,498317511.85,27-JUL-2017,15000,INE949L01017,
AUBANK,EQ,578,598.75,570,588.5,587.25,581.85,2331948,1368613502.3,28-JUL-2017,39710,INE949L01017,
AUBANK,EQ,590,595,578.15,590.6,590,588.5,1050079,617506997.55,31-JUL-2017,18460,INE949L01017,
AUBANK,EQ,592,592.5,583,585.9,585.4,590.6,422157,247692696.1,01-AUG-2017,7496,INE949L01017,
AUBANK,EQ,582.2,589.9,580,582,580,585.9,465458,272392062.25,02-AUG-2017,8381,INE949L01017,
AUBANK,EQ,582,585.5,548.1,558.5,561,582,740392,421403083.75,03-AUG-2017,14106,INE949L01017,
AUBANK,EQ,560.4,560.4,541.75,554.3,555.6,558.5,701556,387528679.8,04-AUG-2017,14206,INE949L01017,
AUBANK,EQ,550,581.45,496.25,551.4,551,554.3,7352471,4023461194.05,07-AUG-2017,116052,INE949L01017,
AUBANK,EQ,553.45,578.3,548.55,568.35,570.4,551.4,2371678,1341518368.7,08-AUG-2017,51437,INE949L01017,
AUBANK,EQ,565,565,541,549.9,546.1,568.35,1387103,765186921.65,09-AUG-2017,29030,INE949L01017,
AUBANK,EQ,515,550.7,502,542.8,548.55,549.9,3199711,1708535329.7,10-AUG-2017,60262,INE949L01017,
AUBANK,EQ,532,547.85,525.15,541.5,540.5,542.8,839237,452140375.75,11-AUG-2017,17305,INE949L01017,
