SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
AXISNIFTY,EQ,968,968,830.3,852.48,832.1,967.86,211,181307.78,10-JUL-2017,16,INF846K01ZL0
AXISNIFTY,EQ,977.55,980,966.33,970.56,966.33,852.48,12766,12424452.32,11-JUL-2017,140,INF846K01ZL0,
AXISNIFTY,EQ,920,982.9,920,979.07,979.19,970.56,7113,6954868.77,12-JUL-2017,94,INF846K01ZL0,
AXISNIFTY,EQ,981.95,985.49,981.95,983.67,985,979.07,10206,10040635.93,13-JUL-2017,82,INF846K01ZL0,
AXISNIFTY,EQ,984.84,985.83,981.02,985.5,985.27,983.67,5603,5513669.56,14-JUL-2017,51,INF846K01ZL0,
AXISNIFTY,EQ,988.11,989.69,987.06,988.92,988.7,985.5,4828,4772344.37,17-JUL-2017,58,INF846K01ZL0,
AXISNIFTY,EQ,983,985.85,981.12,981.12,981.12,988.92,1707,1680048,18-JUL-2017,32,INF846K01ZL0,
AXISNIFTY,EQ,985.72,987,984.85,987,987,981.12,2472,2436541.89,19-JUL-2017,20,INF846K01ZL0,
AXISNIFTY,EQ,989.16,989.16,985.56,985.65,985.6,987,720,711167.86,20-JUL-2017,13,INF846K01ZL0,
AXISNIFTY,EQ,989.42,990,984.14,984.46,984.46,985.65,670,662489.03,21-JUL-2017,15,INF846K01ZL0,
AXISNIFTY,EQ,993.65,995.85,993.25,995.31,995.31,984.46,923,918006.11,24-JUL-2017,28,INF846K01ZL0,
AXISNIFTY,EQ,995.16,1000,993.94,996.05,996.05,995.31,465,462908.77,25-JUL-2017,19,INF846K01ZL0,
AXISNIFTY,EQ,1000,1008.98,1000,1001.55,1001.55,999.98,1745,1757152.22,27-JUL-2017,40,INF846K01ZL0,
AXISNIFTY,EQ,994.78,996.62,994.65,995.89,995.89,1001.55,442,440058.69,28-JUL-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,1002.03,1006.8,1001.59,1005.65,1006.8,995.89,694,696541.33,31-JUL-2017,29,INF846K01ZL0,
