SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
THOMASCOTT,BE,12.35,12.35,11.7,11.7,11.7,11.85,225,2762.5,01-JAN-2016,2,INE480M01011,
THOMASCOTT,BE,11.5,11.5,11.15,11.15,11.15,11.7,405,4605.75,04-JAN-2016,7,INE480M01011,
THOMASCOTT,BE,11,11.55,11,11.55,11.55,11.15,31,344.3,05-JAN-2016,2,INE480M01011,
THOMASCOTT,BE,11.25,11.25,11,11.1,11.1,11.55,772,8577.7,06-JAN-2016,7,INE480M01011,
THOMASCOTT,BE,11.05,11.05,11.05,11.05,11.05,11.1,25,276.25,08-JAN-2016,1,INE480M01011,
THOMASCOTT,BE,11.6,11.6,11.6,11.6,11.6,11.05,100,1160,11-JAN-2016,1,INE480M01011,
THOMASCOTT,BE,11.1,11.1,11.1,11.1,11.1,11.6,6,66.6,09-FEB-2016,2,INE480M01011,
THOMASCOTT,BE,10.55,10.55,10.55,10.55,10.55,11.1,1,10.55,11-FEB-2016,1,INE480M01011,
THOMASCOTT,BE,10.05,10.05,10.05,10.05,10.05,10.55,1025,10301.25,22-FEB-2016,2,INE480M01011,
THOMASCOTT,BE,9.55,9.55,9.55,9.55,9.55,10.05,500,4775,24-FEB-2016,1,INE480M01011,
THOMASCOTT,BE,9.95,10,9.95,10,10,9.55,60,598.5,29-FEB-2016,2,INE480M01011,
THOMASCOTT,BE,9.5,10.5,9.5,10.5,10.5,10,147,1538.5,14-MAR-2016,3,INE480M01011,
THOMASCOTT,BE,10.9,10.9,10.9,10.9,10.9,10.5,75,817.5,15-MAR-2016,1,INE480M01011,
THOMASCOTT,BE,10.9,11,10.9,11,11,10.9,20,219,16-MAR-2016,2,INE480M01011,
THOMASCOTT,BE,10.45,10.45,10.45,10.45,10.45,11,900,9405,23-MAR-2016,2,INE480M01011,
THOMASCOTT,BE,10.95,10.95,10.95,10.95,10.95,10.45,850,9307.5,28-MAR-2016,6,INE480M01011,
THOMASCOTT,BE,10.45,10.45,10.45,10.45,10.45,10.95,1500,15675,08-APR-2016,3,INE480M01011,
THOMASCOTT,BE,10.85,10.85,9.95,9.95,9.95,10.45,830,8438.5,11-APR-2016,3,INE480M01011,
THOMASCOTT,BE,9.55,9.55,9.5,9.5,9.5,9.95,1049,9975.5,12-APR-2016,5,INE480M01011,
THOMASCOTT,BE,9.1,9.3,9.1,9.1,9.1,9.5,739,6729.9,13-APR-2016,15,INE480M01011,
THOMASCOTT,BE,8.8,8.8,8.8,8.8,8.8,9.1,11,96.8,18-APR-2016,1,INE480M01011,
THOMASCOTT,BE,8.8,8.8,8.8,8.8,8.8,8.8,12,105.6,21-APR-2016,1,INE480M01011,
THOMASCOTT,BE,9.2,9.2,9.2,9.2,9.2,8.8,500,4600,22-APR-2016,1,INE480M01011,
THOMASCOTT,BE,9,9.05,8.85,8.95,8.85,9.2,1630,14585.5,25-APR-2016,16,INE480M01011,
THOMASCOTT,BE,8.55,9.35,8.55,9.35,9.35,8.95,59,544.45,26-APR-2016,2,INE480M01011,
THOMASCOTT,BE,8.9,9.8,8.9,9.8,9.8,9.35,181,1655.9,27-APR-2016,5,INE480M01011,
THOMASCOTT,BE,9.35,9.35,9.35,9.35,9.35,9.8,6,56.1,02-MAY-2016,2,INE480M01011,
THOMASCOTT,BE,8.95,8.95,8.95,8.95,8.95,9.35,40,358,06-MAY-2016,1,INE480M01011,
THOMASCOTT,BE,8.55,8.55,8.55,8.55,8.55,8.95,1,8.55,09-MAY-2016,1,INE480M01011,
THOMASCOTT,BE,8.95,8.95,8.95,8.95,8.95,8.55,400,3580,11-MAY-2016,1,INE480M01011,
THOMASCOTT,BE,8.65,8.7,8.65,8.7,8.7,8.95,14,121.45,13-MAY-2016,2,INE480M01011,
THOMASCOTT,BE,8.7,8.7,8.7,8.7,8.7,8.7,47,408.9,18-MAY-2016,1,INE480M01011,
THOMASCOTT,BE,8.3,8.3,8.3,8.3,8.3,8.7,25,207.5,23-MAY-2016,1,INE480M01011,
THOMASCOTT,BE,7.9,7.9,7.9,7.9,7.9,8.3,309,2441.1,24-MAY-2016,2,INE480M01011,
THOMASCOTT,BE,8.25,8.25,8.25,8.25,8.25,7.9,14,115.5,25-MAY-2016,1,INE480M01011,
THOMASCOTT,BE,8.65,8.65,8.65,8.65,8.65,8.25,206,1781.9,26-MAY-2016,3,INE480M01011,
THOMASCOTT,BE,8.25,8.75,8.25,8.75,8.75,8.65,502,4391.5,27-MAY-2016,2,INE480M01011,
THOMASCOTT,BE,9.15,9.15,8.75,8.75,8.75,8.75,256,2335.6,31-MAY-2016,4,INE480M01011,
THOMASCOTT,BE,9.15,9.15,9.15,9.15,9.15,8.75,200,1830,03-JUN-2016,1,INE480M01011,
THOMASCOTT,BE,9,9.6,9,9.6,9.6,9.15,280,2686.8,06-JUN-2016,8,INE480M01011,
THOMASCOTT,BE,10,10,10,10,10,9.6,200,2000,07-JUN-2016,1,INE480M01011,
THOMASCOTT,BE,10.5,10.5,10.5,10.5,10.5,10,100,1050,10-JUN-2016,1,INE480M01011,
THOMASCOTT,BE,11,11,11,11,11,10.5,1,11,13-JUN-2016,1,INE480M01011,
THOMASCOTT,BE,11,11.5,11,11.5,11.5,11,451,5107.5,16-JUN-2016,4,INE480M01011,
THOMASCOTT,BE,11.5,11.5,11.5,11.5,11.5,11.5,25,287.5,20-JUN-2016,1,INE480M01011,
THOMASCOTT,BE,10.95,10.95,10.95,10.95,10.95,11.5,176,1927.2,29-JUN-2016,3,INE480M01011,
THOMASCOTT,BE,10.45,11.2,10.45,11.2,11.2,10.95,61,638.2,30-JUN-2016,2,INE480M01011,
