SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GISOLUTION,BE,6.8,6.8,6.8,6.8,6.8,6.9,2753,18720.4,01-JAN-2016,5,INE065J01016,
GISOLUTION,BE,6.5,6.5,6.5,6.5,6.5,6.8,100,650,12-JAN-2016,1,INE065J01016,
GISOLUTION,BE,6.5,6.5,6.5,6.5,6.5,6.5,25,162.5,13-JAN-2016,1,INE065J01016,
GISOLUTION,BE,6.5,6.5,6.5,6.5,6.5,6.5,200,1300,01-FEB-2016,1,INE065J01016,
GISOLUTION,EQ,6.2,6.2,6.2,6.2,6.2,6.5,100,620,11-MAR-2016,1,INE065J01016,
GISOLUTION,EQ,6.5,6.5,6.5,6.5,6.5,6.2,844,5486,14-MAR-2016,5,INE065J01016,
GISOLUTION,EQ,6.2,6.2,6.2,6.2,6.2,6.5,35,217,16-MAR-2016,1,INE065J01016,
GISOLUTION,EQ,5.9,5.9,5.9,5.9,5.9,6.2,50,295,17-MAR-2016,1,INE065J01016,
GISOLUTION,EQ,5.65,5.65,5.65,5.65,5.65,5.9,4000,22600,18-MAR-2016,7,INE065J01016,
GISOLUTION,EQ,5.4,5.65,5.4,5.55,5.55,5.65,13,72.9,31-MAR-2016,4,INE065J01016,
GISOLUTION,EQ,5.3,5.3,5.3,5.3,5.3,5.55,50,265,01-APR-2016,1,INE065J01016,
GISOLUTION,EQ,5.05,5.2,5.05,5.2,5.2,5.3,75,382.5,04-APR-2016,2,INE065J01016,
GISOLUTION,EQ,4.95,4.95,4.95,4.95,4.95,5.2,50,247.5,06-APR-2016,1,INE065J01016,
GISOLUTION,EQ,4.75,4.95,4.75,4.95,4.95,4.95,100,485,07-APR-2016,2,INE065J01016,
GISOLUTION,EQ,4.75,4.75,4.75,4.75,4.75,4.95,50,237.5,08-APR-2016,1,INE065J01016,
GISOLUTION,EQ,4.55,4.55,4.55,4.55,4.55,4.75,50,227.5,11-APR-2016,1,INE065J01016,
GISOLUTION,EQ,4.75,4.75,4.75,4.75,4.75,4.55,50,237.5,02-MAY-2016,1,INE065J01016,
GISOLUTION,EQ,4.95,4.95,4.95,4.95,4.95,4.75,1,4.95,03-MAY-2016,1,INE065J01016,
GISOLUTION,EQ,5.15,5.15,5.15,5.15,5.15,4.95,50,257.5,04-MAY-2016,1,INE065J01016,
GISOLUTION,EQ,5.35,5.35,5.35,5.35,5.35,5.15,50,267.5,17-MAY-2016,1,INE065J01016,
GISOLUTION,EQ,5.55,5.55,5.55,5.55,5.55,5.35,50,277.5,23-MAY-2016,1,INE065J01016,
GISOLUTION,EQ,5.55,5.55,5.55,5.55,5.55,5.55,600,3330,26-MAY-2016,3,INE065J01016,
GISOLUTION,EQ,5.35,5.35,5.35,5.35,5.35,5.55,1490,7971.5,27-MAY-2016,5,INE065J01016,
GISOLUTION,EQ,5.6,5.6,5.6,5.6,5.6,5.35,100,560,16-JUN-2016,1,INE065J01016,
GISOLUTION,EQ,5.4,5.4,5.4,5.4,5.4,5.6,740,3996,27-JUN-2016,1,INE065J01016,
GISOLUTION,EQ,5.15,5.15,5.15,5.15,5.15,5.4,500,2575,20-JUL-2016,1,INE065J01016,
GISOLUTION,EQ,4.9,4.9,4.9,4.9,4.9,5.15,800,3920,21-JUL-2016,3,INE065J01016,
