INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,TCS,25-Feb-2016,0,XX,2446,2447.5,2432,2433.55,2433.55,25,121.94,11800,1800,01-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2425,2425,2385,2390.2,2390.2,64,307.01,18200,6400,04-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2391,2394.85,2355.95,2367,2367,60,284.38,21600,3400,05-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2370,2389,2370,2386.8,2386.8,23,109.51,22000,400,06-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2367.85,2378.35,2366.1,2372.75,2372.75,52,246.5,21000,-1000,07-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2384,2411.05,2384,2403.75,2403.75,28,134.35,21400,400,08-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2383.1,2384,2356.1,2363.75,2363.75,76,359.64,21000,-400,11-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2358.95,2358.95,2312,2330.4,2330.4,246,1147.05,37000,16000,12-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2325,2338.5,2268,2292.35,2292.35,465,2133.82,60400,23400,13-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2266.45,2303,2264.5,2283.2,2283.2,236,1079.53,61000,600,14-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2290,2294.55,2260,2263.95,2263.95,301,1366.5,72200,11200,15-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2285,2303.7,2276,2290.35,2290.35,437,2005.19,93400,21200,18-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2282,2304.8,2281.25,2292.4,2292.4,256,1172.22,100000,6600,19-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2284.5,2286.5,2250,2283.9,2283.9,286,1299.55,109400,9400,20-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2292.75,2300,2260.9,2267.55,2267.55,1396,6338.19,257400,148000,21-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2280.1,2307.3,2270,2303.3,2303.3,1106,5079.62,334000,76600,22-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2310,2344.8,2299.05,2315.85,2315.85,9194,42803.63,1762200,1428200,25-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2305,2336.35,2291.3,2322.1,2322.1,11584,53795.44,3329200,1567000,27-JAN-2016,
FUTSTK,TCS,25-Feb-2016,0,XX,2314.95,2349.5,2314.95,2338.25,2338.25,10548,49296.15,3794400,465200,28-JAN-2016,
FUTSTK,TCS,31-Mar-2016,0,XX,2365,2405.85,2350,2403.05,2403.05,26,123.6,14400,1000,29-JAN-2016,
FUTSTK,TCS,31-Mar-2016,0,XX,2388.8,2424.95,2388.8,2404.8,2404.8,33,158.94,16000,1600,01-FEB-2016,
FUTSTK,TCS,31-Mar-2016,0,XX,2415,2434,2392.5,2404.1,2404.1,47,227.29,16200,200,02-FEB-2016,
FUTSTK,TCS,31-Mar-2016,0,XX,2387,2428.95,2373,2425.2,2425.2,71,340.41,16400,200,03-FEB-2016,
