INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7985,8050,7974.2,8036.7,8036.7,1404,8442.66,39900,39900,01-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7995,8005.25,7853,7864.1,7864.1,1877,11135.58,87750,47850,04-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7892.95,7894.7,7841,7864.95,7864.95,1815,10712.62,154125,66375,05-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7836.65,7882,7790.25,7812.15,7812.15,1936,11385.68,190725,36600,06-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7740.35,7758.7,7632.3,7643,7643,2845,16381.01,249750,59025,07-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7670,7696.75,7651.1,7659.3,7659.3,1923,11064.57,260175,10425,08-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7587.65,7668.5,7560.05,7639.7,7639.7,2182,12455.28,277875,17700,11-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7636.4,7638.3,7555,7584.05,7584.05,1197,6812.01,303075,25200,12-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7628,7653.65,7481.05,7626.5,7626.5,2335,13259.41,323625,20550,13-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7550,7662,7504.4,7587.65,7587.65,2390,13580.59,356250,32625,14-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7577.05,7606.15,7482.3,7494.55,7494.55,1532,8663.6,368025,11775,15-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7494.1,7522.2,7402,7416.5,7416.5,2401,13430.56,390000,21975,18-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7439.45,7518.55,7421.7,7483.5,7483.5,2723,15271.98,410475,20475,19-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7404,7404.2,7275.05,7344.45,7344.45,5261,28927.46,507000,96525,20-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7408,7430,7285,7319.75,7319.75,4430,24393.93,613650,106650,21-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7379.6,7464,7359.5,7455.45,7455.45,3485,19417.08,646950,33300,22-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7479,7505.15,7437.3,7458.65,7458.65,4011,22467.51,748200,101250,25-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7456.45,7491,7437,7455.75,7455.75,3278,18342.11,820950,72750,27-JAN-2016,
FUTIDX,NIFTY,31-Mar-2016,0,XX,7449.45,7492.85,7447.9,7463.4,7463.4,4768,26699.54,913050,92100,28-JAN-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7529,7615,7485.8,7603.45,7603.45,777,4408.37,37800,37800,29-JAN-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7610,7644.9,7587.4,7604.55,7604.55,1043,5962.37,75750,37950,01-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7609.45,7632.8,7490,7520.75,7520.75,2037,11566.8,161700,85950,02-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7450,7470,7415,7422.1,7422.1,1769,9867.64,226650,64950,03-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7470,7516.85,7420,7465.55,7465.55,1648,9233.67,288750,62100,04-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7478,7570,7464.65,7563.45,7563.45,1611,9096.79,337875,49125,05-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7550,7579.85,7421,7445.45,7445.45,1248,7020.96,369825,31950,08-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7347.35,7400,7344.3,7370.45,7370.45,1765,9758.72,411525,41700,09-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7330.25,7340,7245.3,7297.5,7297.5,2035,11140.07,440025,28500,10-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7246.25,7258.6,7025,7044.95,7044.95,3463,18544.78,479625,39600,11-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7069.9,7092,6926,7041.75,7041.75,3316,17446.1,468075,-11550,12-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7113.35,7236,7113.35,7206.55,7206.55,2372,12790.55,475575,7500,15-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7250,7250,7088,7096.2,7096.2,1633,8775.87,500100,24525,16-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7092.9,7178,7016,7164.9,7164.9,1760,9355.87,508500,8400,17-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7218.9,7262.75,7171.5,7241.6,7241.6,2126,11523.69,554550,46050,18-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7214.25,7281.3,7198.9,7263.4,7263.4,1157,6285.75,567975,13425,19-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7264.3,7303,7259.95,7288.4,7288.4,1000,5461.86,571950,3975,22-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7271.85,7272.5,7151.6,7162.6,7162.6,2181,11781.74,589800,17850,23-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7143.3,7150.65,7063.45,7072.65,7072.65,3298,17584.85,613275,23475,24-FEB-2016,
FUTIDX,NIFTY,28-Apr-2016,0,XX,7063.7,7088,7020,7032.65,7032.65,3733,19751.69,667800,54525,25-FEB-2016,
