INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,3125.8,3131,3094,3113,3113,2756,12880.01,2260650,23100,01-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,3110,3126.95,3039.1,3057.65,3057.65,4561,21086.13,2301600,40950,04-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,3072.75,3085.8,3061.2,3071.9,3071.9,2363,10899.15,2272050,-29550,05-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,3083,3094.05,3042.5,3058.3,3058.3,2771,12770.22,2270400,-1650,06-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,3029.55,3030,2972.65,2990.9,2990.9,4876,21891.7,2175600,-94800,07-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2981.15,3029.9,2978.5,3009.45,3009.45,2756,12426.4,2210850,35250,08-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2984.6,2999.95,2933.2,2940.85,2940.85,5051,22392.4,2319600,108750,11-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2923.4,2946.3,2894.7,2928.7,2928.7,3785,16583.26,2319300,-300,12-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2943.25,2959,2859.95,2898.2,2898.2,4154,18110,2278050,-41250,13-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2884.95,2928.95,2859.65,2919.45,2919.45,4120,17919.71,2190900,-87150,14-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2933,2970,2922.6,2933.8,2933.8,3439,15174.41,2116800,-74100,15-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2925.3,2951.8,2865.15,2877.6,2877.6,3668,15929.31,2072250,-44550,18-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2897.95,2947,2847.2,2920.25,2920.25,3449,14999.38,2077650,5400,19-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2898,2907.65,2856.15,2868.3,2868.3,2812,12146.54,2074200,-3450,20-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2885.45,2896.95,2756.8,2763.8,2763.8,5464,23000.43,2008350,-65850,21-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2795.6,2917.7,2786.2,2888.05,2888.05,6447,27660.61,1844100,-164250,22-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2911.95,2928.6,2879.1,2901.15,2901.15,5579,24331.86,1541700,-302400,25-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2945,2978,2892,2968.5,2968.5,7620,33629.84,997500,-544200,27-JAN-2016,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,2962.8,3027.75,2961.7,3012.95,3011.2,8784,39674.71,602550,-394950,28-JAN-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3004.75,3114,2970.4,3097.95,3097.95,10198,46797.04,1927950,193350,29-JAN-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3090,3133,3051.05,3057,3057,5921,27444.74,1969650,41700,01-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3080.15,3107.5,3046.2,3052.2,3052.2,3426,15823.32,1919700,-49950,02-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3038.3,3041.4,3000.8,3015.9,3015.9,2094,9479.67,1894350,-25350,03-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3028.7,3049,2964.65,3007,3007,3928,17696.05,1865100,-29250,04-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3020.6,3138.05,2994.85,3123.4,3123.4,4831,22276.31,1855500,-9600,05-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3111,3129.9,3032,3076.95,3076.95,6815,31453.47,1887750,32250,08-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3062,3128,2960,2973.65,2973.65,19444,88860.75,1947000,59250,09-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,2930,2945.95,2833.15,2899.85,2899.85,7617,32956.03,1953450,6450,10-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,2928,3050,2863,2893.15,2893.15,7039,30999.69,1886700,-66750,11-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,2925.25,2939.9,2828,2850.8,2850.8,5722,24621.59,1761300,-125400,12-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,2881.65,2905.5,2816.8,2863.2,2863.2,4557,19605.5,1753950,-7350,15-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,2875.05,2932.2,2851.05,2864.55,2864.55,4165,18031.34,1755600,1650,16-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,2887.65,2998.8,2887.65,2970.5,2970.5,11539,50913.44,1729500,-26100,17-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3054.15,3159,3026.6,3103,3103,13380,62149.47,1609200,-120300,18-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3088.7,3109.05,3055,3067.05,3067.05,5064,23355.51,1574850,-34350,19-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3072.95,3121.65,3072,3109.85,3109.85,5570,25909.01,1448550,-126300,22-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3113,3149,3069.25,3080.7,3080.7,6018,28050.87,1161450,-287100,23-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3074.3,3074.3,3000.6,3013.55,3013.55,6624,30182.89,710100,-451350,24-FEB-2016,
FUTSTK,DRREDDY,25-Feb-2016,0,XX,3005.95,3019.35,2988,2994.65,2994.45,5014,22567.86,538800,-171300,25-FEB-2016,
FUTSTK,DRREDDY,31-Mar-2016,0,XX,3039.7,3050,2975.3,3007.65,3007.65,3722,16783.36,1333200,-14700,26-FEB-2016,
