INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ALKEM,27-May-2021,0,XX,2757.9,2757.9,2757.9,2757.9,2757.9,1,5.51,200,200,26-FEB-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,0,0,0,2757.9,2852.4,0,0,200,0,01-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,0,0,0,2757.9,2940.3,0,0,200,0,02-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,2895.55,2895.55,2876.35,2876.35,2866.9,3,17.33,800,600,03-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,0,0,0,2876.35,2854.05,0,0,800,0,04-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,0,0,0,2876.35,2806.95,0,0,800,0,05-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,2814.95,2814.95,2814.95,2814.95,2808.65,1,5.62,1000,200,08-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,0,0,0,2814.95,2794.95,0,0,1000,0,09-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,0,0,0,2814.95,2761.9,0,0,1000,0,10-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,2780,2812,2780,2812,2795.25,2,11.18,1400,400,12-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,2710.25,2710.25,2710.25,2710.25,2706.1,1,5.42,1600,200,15-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,2712.25,2712.25,2705.55,2707.8,2677.25,3,16.25,1800,200,16-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,0,0,0,2707.8,2651,0,0,1800,0,17-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,2652.15,2654.6,2652.15,2654.6,2654.6,2,10.61,2200,400,18-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,0,0,0,2654.6,2643.65,0,0,2200,0,19-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,2685.7,2685.7,2650.15,2650.15,2638.45,3,15.98,2800,600,22-MAR-2021,
FUTSTK,ALKEM,27-May-2021,0,XX,2627,2640,2627,2639.05,2639.05,8,42.19,3600,800,23-MAR-2021,
