INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,47.4,49.7,47.35,48.85,48.85,30,176.07,984000,312000,16-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,49.15,49.15,47.65,48.1,47.95,30,172.96,1344000,360000,17-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,47.8,48.25,47.6,47.65,47.65,21,120.64,1524000,180000,18-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,47.5,47.6,47.05,47.05,47.05,6,34.09,1500000,-24000,21-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,46.45,47.1,45.8,47.1,47.55,14,77.73,1620000,120000,22-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,48,48.5,47.5,47.5,47.5,9,51.91,1644000,24000,23-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,47.9,47.9,47.45,47.8,47.75,4,22.87,1680000,36000,24-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,47.9,47.9,46.4,46.6,46.6,12,67.87,1740000,60000,25-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,47,47,46,46.1,46.1,27,149.84,1956000,216000,28-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,46.3,46.85,46.2,46.85,46.85,14,77.95,2088000,132000,29-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,46.4,46.4,45,45.1,45.1,43,235.39,2424000,336000,30-JAN-2019,
FUTSTK,IDFCFIRSTB,28-Mar-2019,0,XX,45.05,46.15,44.1,45.85,45.85,56,303.04,2592000,168000,31-JAN-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,45.4,45.4,44.9,44.9,45.6,5,27.1,36000,36000,01-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,0,0,0,44.9,44.05,0,0,36000,0,04-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,44.2,44.3,42.95,42.95,43.7,4,21.05,72000,36000,05-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,42.5,42.6,40.8,42.6,42.3,8,40.03,120000,48000,06-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,43.65,45,43.65,45,45,10,53.14,180000,60000,07-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,44,45,43.95,44.5,44.5,7,37.18,180000,0,08-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,44.3,45.1,44.3,45.1,45.7,2,10.72,180000,0,11-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,45.6,45.6,45.6,45.6,45.95,1,5.47,180000,0,12-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,45.15,45.15,44.5,44.5,44.5,3,16.15,168000,-12000,13-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,44.3,45.35,43.95,45.15,45.15,8,42.98,168000,0,14-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,44.9,45.1,44.35,44.75,44.75,28,150.01,396000,228000,15-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,44,44.15,43.5,43.7,43.7,11,57.96,480000,84000,18-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,44.45,44.45,44.45,44.45,44,1,5.33,480000,0,19-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,44.6,44.7,44.6,44.7,45.35,2,10.71,480000,0,20-FEB-2019,
FUTSTK,IDFCFIRSTB,25-Apr-2019,0,XX,45.5,45.55,45.4,45.5,45.6,30,163.74,816000,336000,21-FEB-2019,
