INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,565.8,0,0,0,0,01-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,567.6,0,0,0,0,04-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,577.65,0,0,0,0,05-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,572.75,0,0,0,0,06-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,566.35,0,0,0,0,07-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,566.7,0,0,0,0,08-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,560.95,0,0,0,0,11-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,555,0,0,0,0,12-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,558.35,0,0,0,0,13-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,565.95,0,0,0,0,14-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,564.8,0,0,0,0,15-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,547.75,0,0,0,0,18-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,547.95,0,0,0,0,19-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,542.75,0,0,0,0,20-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,538.1,0,0,0,0,21-JAN-2016,
FUTSTK,PIDILITIND,31-Mar-2016,0,XX,0,0,0,562.8,548.15,0,0,0,0,22-JAN-2016,
