INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1155.05,1165.05,1072,1127,1127,507,2836.66,109500,109500,26-FEB-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1130,1171,1121.35,1156.45,1156.45,569,3272.06,186500,77000,01-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1165.05,1181.9,1150,1161.55,1161.55,349,2031.56,200000,13500,02-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1173.95,1233,1145.05,1211.3,1211.3,1600,9516.42,488000,288000,03-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1185,1297.95,1181.05,1273.75,1273.75,3094,19450.28,585000,97000,04-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1275,1286.7,1232.25,1263.95,1263.95,1279,8101.75,572000,-13000,05-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1275.05,1287.9,1245.4,1270.35,1270.35,1151,7308.59,662000,90000,08-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1266.1,1322.7,1223.9,1239.85,1239.85,3746,23860.16,1017000,355000,09-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1255,1270,1206.05,1254.55,1254.55,1692,10526.9,939000,-78000,10-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1266.9,1277,1233.15,1254.35,1254.35,1254,7875.92,862000,-77000,12-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1246.1,1247,1177.45,1192.65,1192.65,1854,11081.3,929000,67000,15-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1204.6,1242,1204.6,1230.7,1230.7,1441,8836.91,878500,-50500,16-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1211,1220,1165.5,1170.75,1170.75,1571,9316.98,889500,11000,17-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1194.95,1212.6,1149,1169.15,1169.15,1171,6898.28,751500,-138000,18-MAR-2021,
FUTSTK,AUBANK,25-Mar-2021,0,XX,1150.65,1212,1134.95,1196.65,1196.65,707,4150.42,673500,-78000,19-MAR-2021,
